tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1999-337,Vienna,Hard,32,A,19991011,015,103819,,WC,Roger Federer,R,185,SUI,18.173853525,93,525,102434,,,Vincent Spadea,R,183,USA,25.2292950034,21,1502,6-4 6-2,3,R32,59,4,1,51,28,24,9,9,1,3,3,5,51,20,13,11,9,2,7
1999-337,Vienna,Hard,32,A,19991011,028,103819,,WC,Roger Federer,R,185,SUI,18.173853525,93,525,102344,,,Karol Kucera,R,188,SVK,25.6043805613,15,1819,2-6 6-4 6-1,3,QF,89,6,4,77,45,38,14,13,3,5,6,6,79,41,27,21,12,7,10
1999-337,Vienna,Hard,32,A,19991011,030,102257,5,,Greg Rusedski,L,193,GBR,26.0944558522,7,2278,103819,,WC,Roger Federer,R,185,SUI,18.173853525,93,525,6-3 6-4,3,SF,62,7,1,48,31,28,12,10,0,0,4,3,63,41,28,11,9,1,3
1999-337,Vienna,Hard,32,A,19991011,024,103819,,WC,Roger Federer,R,185,SUI,18.173853525,93,525,102562,,,Jiri Novak,R,190,CZE,24.5557837098,34,1103,7-6(8) 6-1,3,R16,71,6,3,60,35,24,13,9,1,3,0,2,71,49,27,8,10,5,10
1999-375,Lyon,Carpet,48,A,19991018,006,103819,,,Roger Federer,R,185,SUI,18.1930184805,67,683,101888,,,Daniel Vacek,R,190,CZE,28.5475701574,53,837,6-3 6-4,3,R64,70,2,1,57,33,25,15,9,4,5,3,4,69,32,23,15,10,3,7
1999-375,Lyon,Carpet,48,A,19991018,022,103720,13,,Lleyton Hewitt,R,180,AUS,18.6447638604,27,1259,103819,,,Roger Federer,R,185,SUI,18.1930184805,67,683,7-6(4) 2-6 6-4,3,R32,131,3,1,97,47,32,25,15,7,12,5,4,109,54,39,26,15,6,10
2000-339,Adelaide,Hard,32,A,20000103,017,102358,1,,Thomas Enqvist,R,190,SWE,25.7905544148,,,103819,,,Roger Federer,R,185,SUI,18.3846680356,,,7-6(5) 6-4,3,R16,84,3,2,71,37,30,23,11,3,3,7,2,83,42,31,22,11,1,2
2000-339,Adelaide,Hard,32,A,20000103,002,103819,,,Roger Federer,R,185,SUI,18.3846680356,,,102533,,,Jens Knippschild,R,190,GER,24.8624229979,,,6-1 6-4,3,R32,45,6,3,46,28,24,12,9,0,0,3,5,42,15,13,12,8,0,3
2000-301,Auckland,Hard,32,A,20000110,004,103507,7,,Juan Carlos Ferrero,R,183,ESP,19.909650924,45,768,103819,,,Roger Federer,R,185,SUI,18.4229979466,61,616,6-4 6-4,3,R32,68,5,1,53,28,26,15,10,0,0,11,2,70,43,29,14,10,6,8
2000-580,Australian Open,Hard,128,G,20000117,109,103096,,,Arnaud Clement,R,173,FRA,22.083504449,54,694,103819,,,Roger Federer,R,185,SUI,18.4421629021,62,620,6-1 6-4 6-3,5,R32,101,2,0,84,50,36,21,13,3,4,7,6,88,49,32,13,13,6,12
2000-580,Australian Open,Hard,128,G,20000117,052,103819,,,Roger Federer,R,185,SUI,18.4421629021,62,620,102021,,,Michael Chang,R,175,USA,27.9014373717,38,841,6-4 6-4 7-6(5),5,R128,125,14,7,101,55,42,28,16,1,3,6,9,120,74,52,22,16,5,9
2000-580,Australian Open,Hard,128,G,20000117,090,103819,,,Roger Federer,R,185,SUI,18.4421629021,62,620,102466,,,Jan Kroslak,R,188,SVK,25.2511978097,104,372,7-6(1) 6-2 6-3,5,R64,106,9,4,106,64,43,28,14,9,10,6,6,105,68,41,16,15,8,12
2000-D060,Davis Cup WG R1: SUI vs AUS,Carpet,4,D,20000204,3,103720,,,Lleyton Hewitt,R,180,AUS,18.932238193,15,1430,103819,,,Roger Federer,R,185,SUI,18.4804928131,61,652,6-2 3-6 7-6(2) 6-1,5,RR,,,,,,,,,,,,,,,,,,,
2000-D060,Davis Cup WG R1: SUI vs AUS,Carpet,4,D,20000204,2,103819,,,Roger Federer,R,185,SUI,18.4804928131,61,652,102882,,,Mark Philippoussis,R,196,AUS,23.2306639288,17,1304,6-4 7-6(3) 4-6 6-4,5,RR,,,,,,,,,,,,,,,,,,,
2000-496,Marseille,Hard,32,A,20000207,018,103819,,WC,Roger Federer,R,185,SUI,18.4996577687,67,582,102563,7,,Thomas Johansson,R,180,SWE,24.8761122519,41,833,6-3 6-2,3,R16,63,3,3,55,36,29,11,9,0,0,4,4,52,24,17,11,8,3,6
2000-496,Marseille,Hard,32,A,20000207,003,103819,,WC,Roger Federer,R,185,SUI,18.4996577687,67,582,102179,,Q,Antony Dupuis,R,185,FRA,26.9514031485,93,429,6-4 6-4,3,R32,72,4,3,59,34,24,15,10,2,3,2,1,63,31,21,17,10,1,4
2000-496,Marseille,Hard,32,A,20000207,031,101820,,,Marc Rosset,R,201,SUI,29.2511978097,77,524,103819,,WC,Roger Federer,R,185,SUI,18.4996577687,67,582,2-6 6-3 7-6(5),3,F,118,10,9,93,45,40,24,15,3,6,5,2,87,46,34,26,14,3,5
2000-496,Marseille,Hard,32,A,20000207,025,103819,,WC,Roger Federer,R,185,SUI,18.4996577687,67,582,103344,,,Ivan Ljubicic,R,193,CRO,20.8898015058,69,561,6-2 3-6 7-6(5),3,QF,127,11,2,88,55,42,19,14,6,8,7,5,104,54,39,24,15,2,5
2000-496,Marseille,Hard,32,A,20000207,029,103819,,WC,Roger Federer,R,185,SUI,18.4996577687,67,582,102148,6,,Fabrice Santoro,R,178,FRA,27.1622176591,38,908,7-6(4) 7-5,3,SF,94,3,2,75,49,35,18,12,1,2,1,2,72,40,28,19,12,2,4
2000-408,London,Hard,32,A,20000221,028,101820,,,Marc Rosset,R,201,SUI,29.2895277207,72,555,103819,,,Roger Federer,R,185,SUI,18.5379876797,66,625,3-6 6-4 6-4,3,QF,112,6,7,78,43,38,17,14,3,4,4,3,113,63,48,23,15,9,11
2000-408,London,Hard,32,A,20000221,024,103819,,,Roger Federer,R,185,SUI,18.5379876797,66,625,101964,,WC,Goran Ivanisevic,L,193,CRO,28.4407939767,61,652,7-5 6-3,3,R16,65,6,1,63,44,31,11,10,0,1,11,5,60,27,22,12,11,3,7
2000-408,London,Hard,32,A,20000221,016,103819,,,Roger Federer,R,185,SUI,18.5379876797,66,625,103017,2,,Nicolas Kiefer,R,183,GER,22.6310746064,4,2435,6-2 6-3,3,R32,62,6,1,56,33,26,12,8,5,5,2,2,49,23,13,13,9,2,6
2000-481,Copenhagen,Hard,32,A,20000228,030,101723,3,,Magnus Larsson,R,193,SWE,29.9301848049,48,768,103819,7,,Roger Federer,R,185,SUI,18.5571526352,58,684,6-3 7-6(6),3,SF,82,1,9,71,34,27,21,10,1,1,2,6,78,45,34,13,11,7,9
2000-481,Copenhagen,Hard,32,A,20000228,023,103819,7,,Roger Federer,R,185,SUI,18.5571526352,58,684,102966,,,Fredrik Jonsson,R,193,SWE,22.9212867899,121,324,6-4 6-4,3,R16,71,6,4,54,27,22,17,10,2,3,4,2,65,31,19,19,10,3,6
2000-481,Copenhagen,Hard,32,A,20000228,028,103819,7,,Roger Federer,R,185,SUI,18.5571526352,58,684,101150,,,Gianluca Pozzi,L,180,ITA,34.6995208761,83,477,4-6 6-1 6-3,3,QF,105,3,5,91,42,28,30,13,5,7,1,1,84,40,25,20,13,2,7
2000-481,Copenhagen,Hard,32,A,20000228,013,103819,7,,Roger Federer,R,185,SUI,18.5571526352,58,684,102029,,Q,Filip Dewulf,R,190,BEL,27.9561943874,234,144,6-4 4-6 6-3,3,R32,98,6,10,86,45,33,22,14,1,3,5,2,96,56,40,19,15,3,7
2000-403,Miami Masters,Hard,96,M,20000320,006,103819,,,Roger Federer,R,185,SUI,18.6146475017,53,753,102925,,WC,Justin Gimelstob,R,196,USA,23.1457905544,99,422,7-5 6-3,3,R128,73,7,1,67,42,29,19,11,2,2,2,5,60,41,27,11,10,4,6
2000-403,Miami Masters,Hard,96,M,20000320,038,103151,23,,Mariano Zabaleta,R,183,ARG,22.0561259411,25,1103,103819,,,Roger Federer,R,185,SUI,18.6146475017,53,753,6-4 7-6(7),3,R64,87,3,1,63,32,27,23,11,0,0,5,3,76,45,34,15,11,1,2
